structure,total,inUse,free,time
4th & William,960.0,70.0,890.0,1670252828.2009656
4th & Wash.,270.0,8.0,262.0,1670252828.2009656
1st & Wash.,243.0,243.0,0.0,1670252828.2009656
1st and William,110.0,0.0,110.0,1670256439.5535846
Library Lane,744.0,180.0,564.0,1670256439.5535846
Maynard,791.0,341.0,450.0,1670256439.5535846
Forest Garage,853.0,517.0,336.0,1670256439.5535846
Liberty Square (Tally Hall),540.0,276.0,264.0,1670256439.5535846
Ann Ashley,811.0,360.0,451.0,1670256439.5535846
South Ashley (Kline Lot),143.0,53.0,90.0,1670256439.5535846
4th & William,960.0,218.0,742.0,1670256439.5535846
4th & Wash.,270.0,132.0,138.0,1670256439.5535846
1st & Wash.,243.0,118.0,125.0,1670256439.5535846
1st and William,110.0,0.0,110.0,1670260028.2894619
Library Lane,744.0,180.0,564.0,1670260028.2894619
Maynard,791.0,341.0,450.0,1670260028.2894619
Forest Garage,853.0,517.0,336.0,1670260028.2894619
Liberty Square (Tally Hall),540.0,276.0,264.0,1670260028.2894619
Ann Ashley,811.0,360.0,451.0,1670260028.2894619
South Ashley (Kline Lot),143.0,53.0,90.0,1670260028.2894619
4th & William,960.0,218.0,742.0,1670260028.2894619
4th & Wash.,270.0,132.0,138.0,1670260028.2894619
1st & Wash.,243.0,118.0,125.0,1670260028.2894619
1st and William,110.0,0.0,110.0,1670263630.8275704
Library Lane,744.0,180.0,564.0,1670263630.8275704
Maynard,791.0,341.0,450.0,1670263630.8275704
Forest Garage,853.0,517.0,336.0,1670263630.8275704
Liberty Square (Tally Hall),540.0,276.0,264.0,1670263630.8275704
Ann Ashley,811.0,360.0,451.0,1670263630.8275704
South Ashley (Kline Lot),143.0,53.0,90.0,1670263630.8275704
4th & William,960.0,218.0,742.0,1670263630.8275704
4th & Wash.,270.0,132.0,138.0,1670263630.8275704
1st & Wash.,243.0,118.0,125.0,1670263630.8275704
1st and William,110.0,0.0,110.0,1670267227.9382415
Library Lane,744.0,180.0,564.0,1670267227.9382415
Maynard,791.0,341.0,450.0,1670267227.9382415
Forest Garage,853.0,517.0,336.0,1670267227.9382415
Liberty Square (Tally Hall),540.0,276.0,264.0,1670267227.9382415
Ann Ashley,811.0,360.0,451.0,1670267227.9382415
South Ashley (Kline Lot),143.0,53.0,90.0,1670267227.9382415
4th & William,960.0,218.0,742.0,1670267227.9382415
4th & Wash.,270.0,132.0,138.0,1670267227.9382415
1st & Wash.,243.0,118.0,125.0,1670267227.9382415
1st and William,110.0,0.0,110.0,1670270834.578227
Library Lane,744.0,179.0,565.0,1670270834.578227
Maynard,791.0,359.0,432.0,1670270834.578227
Forest Garage,853.0,517.0,336.0,1670270834.578227
Liberty Square (Tally Hall),540.0,285.0,255.0,1670270834.578227
Ann Ashley,811.0,346.0,465.0,1670270834.578227
South Ashley (Kline Lot),143.0,54.0,89.0,1670270834.578227
4th & William,960.0,215.0,745.0,1670270834.578227
4th & Wash.,270.0,150.0,120.0,1670270834.578227
1st & Wash.,243.0,106.0,137.0,1670270834.578227
1st and William,110.0,0.0,110.0,1670274425.9009178
Library Lane,744.0,179.0,565.0,1670274425.9009178
Maynard,791.0,359.0,432.0,1670274425.9009178
Forest Garage,853.0,517.0,336.0,1670274425.9009178
Liberty Square (Tally Hall),540.0,285.0,255.0,1670274425.9009178
Ann Ashley,811.0,346.0,465.0,1670274425.9009178
South Ashley (Kline Lot),143.0,54.0,89.0,1670274425.9009178
4th & William,960.0,215.0,745.0,1670274425.9009178
4th & Wash.,270.0,150.0,120.0,1670274425.9009178
1st & Wash.,243.0,106.0,137.0,1670274425.9009178
1st and William,110.0,0.0,110.0,1670278027.2757108
Library Lane,744.0,179.0,565.0,1670278027.2757108
Maynard,791.0,359.0,432.0,1670278027.2757108
Forest Garage,853.0,517.0,336.0,1670278027.2757108
Liberty Square (Tally Hall),540.0,285.0,255.0,1670278027.2757108
Ann Ashley,811.0,346.0,465.0,1670278027.2757108
South Ashley (Kline Lot),143.0,54.0,89.0,1670278027.2757108
4th & William,960.0,215.0,745.0,1670278027.2757108
4th & Wash.,270.0,150.0,120.0,1670278027.2757108
1st & Wash.,243.0,106.0,137.0,1670278027.2757108
1st and William,110.0,0.0,110.0,1670281627.8297398
Library Lane,744.0,179.0,565.0,1670281627.8297398
Maynard,791.0,359.0,432.0,1670281627.8297398
Forest Garage,853.0,517.0,336.0,1670281627.8297398
Liberty Square (Tally Hall),540.0,285.0,255.0,1670281627.8297398
Ann Ashley,811.0,346.0,465.0,1670281627.8297398
South Ashley (Kline Lot),143.0,54.0,89.0,1670281627.8297398
4th & William,960.0,215.0,745.0,1670281627.8297398
4th & Wash.,270.0,150.0,120.0,1670281627.8297398
1st & Wash.,243.0,106.0,137.0,1670281627.8297398
1st and William,110.0,0.0,110.0,1670285242.7814078
Library Lane,744.0,106.0,638.0,1670285242.7814078
Maynard,791.0,298.0,493.0,1670285242.7814078
Forest Garage,853.0,256.0,597.0,1670285242.7814078
Liberty Square (Tally Hall),540.0,164.0,376.0,1670285242.7814078
Ann Ashley,811.0,71.0,740.0,1670285242.7814078
South Ashley (Kline Lot),143.0,59.0,84.0,1670285242.7814078
4th & William,960.0,128.0,832.0,1670285242.7814078
4th & Wash.,270.0,124.0,146.0,1670285242.7814078
1st & Wash.,243.0,243.0,0.0,1670285242.7814078
1st and William,110.0,0.0,110.0,1670288827.5923378
Library Lane,744.0,106.0,638.0,1670288827.5923378
Maynard,791.0,298.0,493.0,1670288827.5923378
Forest Garage,853.0,256.0,597.0,1670288827.5923378
Liberty Square (Tally Hall),540.0,164.0,376.0,1670288827.5923378
Ann Ashley,811.0,71.0,740.0,1670288827.5923378
South Ashley (Kline Lot),143.0,59.0,84.0,1670288827.5923378
4th & William,960.0,128.0,832.0,1670288827.5923378
4th & Wash.,270.0,124.0,146.0,1670288827.5923378
1st & Wash.,243.0,243.0,0.0,1670288827.5923378
1st and William,110.0,0.0,110.0,1670292434.0829313
Library Lane,744.0,106.0,638.0,1670292434.0829313
Maynard,791.0,298.0,493.0,1670292434.0829313
Forest Garage,853.0,256.0,597.0,1670292434.0829313
Liberty Square (Tally Hall),540.0,164.0,376.0,1670292434.0829313
Ann Ashley,811.0,71.0,740.0,1670292434.0829313
South Ashley (Kline Lot),143.0,59.0,84.0,1670292434.0829313
4th & William,960.0,128.0,832.0,1670292434.0829313
4th & Wash.,270.0,124.0,146.0,1670292434.0829313
1st & Wash.,243.0,243.0,0.0,1670292434.0829313
1st and William,110.0,0.0,110.0,1670296032.7635014
Library Lane,744.0,106.0,638.0,1670296032.7635014
Maynard,791.0,298.0,493.0,1670296032.7635014
Forest Garage,853.0,256.0,597.0,1670296032.7635014
Liberty Square (Tally Hall),540.0,164.0,376.0,1670296032.7635014
Ann Ashley,811.0,71.0,740.0,1670296032.7635014
South Ashley (Kline Lot),143.0,59.0,84.0,1670296032.7635014
4th & William,960.0,128.0,832.0,1670296032.7635014
4th & Wash.,270.0,124.0,146.0,1670296032.7635014
1st & Wash.,243.0,243.0,0.0,1670296032.7635014
1st and William,110.0,0.0,110.0,1670299636.1404283
Library Lane,744.0,85.0,659.0,1670299636.1404283
Maynard,791.0,110.0,681.0,1670299636.1404283
Forest Garage,853.0,204.0,649.0,1670299636.1404283
Liberty Square (Tally Hall),540.0,81.0,459.0,1670299636.1404283
Ann Ashley,811.0,52.0,759.0,1670299636.1404283
South Ashley (Kline Lot),143.0,18.0,125.0,1670299636.1404283
4th & William,960.0,60.0,900.0,1670299636.1404283
4th & Wash.,270.0,22.0,248.0,1670299636.1404283
1st & Wash.,243.0,243.0,0.0,1670299636.1404283
1st and William,110.0,0.0,110.0,1670303228.462044
Library Lane,744.0,85.0,659.0,1670303228.462044
Maynard,791.0,110.0,681.0,1670303228.462044
Forest Garage,853.0,204.0,649.0,1670303228.462044
Liberty Square (Tally Hall),540.0,81.0,459.0,1670303228.462044
Ann Ashley,811.0,52.0,759.0,1670303228.462044
South Ashley (Kline Lot),143.0,18.0,125.0,1670303228.462044
4th & William,960.0,60.0,900.0,1670303228.462044
4th & Wash.,270.0,22.0,248.0,1670303228.462044
1st & Wash.,243.0,243.0,0.0,1670303228.462044
1st and William,110.0,0.0,110.0,1670306827.4310238
Library Lane,744.0,85.0,659.0,1670306827.4310238
Maynard,791.0,110.0,681.0,1670306827.4310238
Forest Garage,853.0,204.0,649.0,1670306827.4310238
Liberty Square (Tally Hall),540.0,81.0,459.0,1670306827.4310238
Ann Ashley,811.0,52.0,759.0,1670306827.4310238
South Ashley (Kline Lot),143.0,18.0,125.0,1670306827.4310238
4th & William,960.0,60.0,900.0,1670306827.4310238
4th & Wash.,270.0,22.0,248.0,1670306827.4310238
1st & Wash.,243.0,243.0,0.0,1670306827.4310238
1st and William,110.0,0.0,110.0,1670310427.090551
Library Lane,744.0,85.0,659.0,1670310427.090551
Maynard,791.0,110.0,681.0,1670310427.090551
Forest Garage,853.0,204.0,649.0,1670310427.090551
Liberty Square (Tally Hall),540.0,81.0,459.0,1670310427.090551
Ann Ashley,811.0,52.0,759.0,1670310427.090551
South Ashley (Kline Lot),143.0,18.0,125.0,1670310427.090551
4th & William,960.0,60.0,900.0,1670310427.090551
4th & Wash.,270.0,22.0,248.0,1670310427.090551
1st & Wash.,243.0,243.0,0.0,1670310427.090551
1st and William,110.0,0.0,110.0,1670314040.776187
Library Lane,744.0,74.0,670.0,1670314040.776187
Maynard,791.0,73.0,718.0,1670314040.776187
Forest Garage,853.0,179.0,674.0,1670314040.776187
Liberty Square (Tally Hall),540.0,54.0,486.0,1670314040.776187
Ann Ashley,811.0,40.0,771.0,1670314040.776187
South Ashley (Kline Lot),143.0,1.0,142.0,1670314040.776187
4th & William,960.0,54.0,906.0,1670314040.776187
4th & Wash.,270.0,5.0,265.0,1670314040.776187
1st & Wash.,243.0,243.0,0.0,1670314040.776187
1st and William,110.0,0.0,110.0,1670317630.2939067
Library Lane,744.0,74.0,670.0,1670317630.2939067
Maynard,791.0,73.0,718.0,1670317630.2939067
Forest Garage,853.0,179.0,674.0,1670317630.2939067
Liberty Square (Tally Hall),540.0,54.0,486.0,1670317630.2939067
Ann Ashley,811.0,40.0,771.0,1670317630.2939067
South Ashley (Kline Lot),143.0,1.0,142.0,1670317630.2939067
4th & William,960.0,54.0,906.0,1670317630.2939067
4th & Wash.,270.0,5.0,265.0,1670317630.2939067
1st & Wash.,243.0,243.0,0.0,1670317630.2939067
1st and William,110.0,0.0,110.0,1670321228.6337183
Library Lane,744.0,74.0,670.0,1670321228.6337183
Maynard,791.0,73.0,718.0,1670321228.6337183
Forest Garage,853.0,179.0,674.0,1670321228.6337183
Liberty Square (Tally Hall),540.0,54.0,486.0,1670321228.6337183
Ann Ashley,811.0,40.0,771.0,1670321228.6337183
South Ashley (Kline Lot),143.0,1.0,142.0,1670321228.6337183
4th & William,960.0,54.0,906.0,1670321228.6337183
4th & Wash.,270.0,5.0,265.0,1670321228.6337183
1st & Wash.,243.0,243.0,0.0,1670321228.6337183
1st and William,110.0,0.0,110.0,1670324829.1049213
Library Lane,744.0,74.0,670.0,1670324829.1049213
Maynard,791.0,73.0,718.0,1670324829.1049213
Forest Garage,853.0,179.0,674.0,1670324829.1049213
Liberty Square (Tally Hall),540.0,54.0,486.0,1670324829.1049213
Ann Ashley,811.0,40.0,771.0,1670324829.1049213
South Ashley (Kline Lot),143.0,1.0,142.0,1670324829.1049213
4th & William,960.0,54.0,906.0,1670324829.1049213
4th & Wash.,270.0,5.0,265.0,1670324829.1049213
1st & Wash.,243.0,243.0,0.0,1670324829.1049213
1st and William,110.0,0.0,110.0,1670328465.817439
Library Lane,744.0,76.0,668.0,1670328465.817439
Maynard,791.0,81.0,710.0,1670328465.817439
Forest Garage,853.0,234.0,619.0,1670328465.817439
Liberty Square (Tally Hall),540.0,84.0,456.0,1670328465.817439
Ann Ashley,811.0,100.0,711.0,1670328465.817439
South Ashley (Kline Lot),143.0,0.0,143.0,1670328465.817439
4th & William,960.0,69.0,891.0,1670328465.817439
4th & Wash.,270.0,10.0,260.0,1670328465.817439
1st & Wash.,243.0,243.0,0.0,1670328465.817439
1st and William,110.0,0.0,110.0,1670332026.966006
Library Lane,744.0,76.0,668.0,1670332026.966006
Maynard,791.0,81.0,710.0,1670332026.966006
Forest Garage,853.0,234.0,619.0,1670332026.966006
Liberty Square (Tally Hall),540.0,84.0,456.0,1670332026.966006
Ann Ashley,811.0,100.0,711.0,1670332026.966006
South Ashley (Kline Lot),143.0,0.0,143.0,1670332026.966006
4th & William,960.0,69.0,891.0,1670332026.966006
4th & Wash.,270.0,10.0,260.0,1670332026.966006
1st & Wash.,243.0,243.0,0.0,1670332026.966006
1st and William,110.0,0.0,110.0,1670335627.7288704
Library Lane,744.0,76.0,668.0,1670335627.7288704
Maynard,791.0,81.0,710.0,1670335627.7288704
Forest Garage,853.0,234.0,619.0,1670335627.7288704
Liberty Square (Tally Hall),540.0,84.0,456.0,1670335627.7288704
Ann Ashley,811.0,100.0,711.0,1670335627.7288704
South Ashley (Kline Lot),143.0,0.0,143.0,1670335627.7288704
4th & William,960.0,69.0,891.0,1670335627.7288704
4th & Wash.,270.0,10.0,260.0,1670335627.7288704
1st & Wash.,243.0,243.0,0.0,1670335627.7288704
1st and William,110.0,0.0,110.0,1670339227.75658
Library Lane,744.0,76.0,668.0,1670339227.75658
Maynard,791.0,81.0,710.0,1670339227.75658
Forest Garage,853.0,234.0,619.0,1670339227.75658
Liberty Square (Tally Hall),540.0,84.0,456.0,1670339227.75658
Ann Ashley,811.0,100.0,711.0,1670339227.75658
South Ashley (Kline Lot),143.0,0.0,143.0,1670339227.75658
4th & William,960.0,69.0,891.0,1670339227.75658
4th & Wash.,270.0,10.0,260.0,1670339227.75658
1st & Wash.,243.0,243.0,0.0,1670339227.75658
1st and William,110.0,0.0,110.0,1670342840.7793694
Library Lane,744.0,181.0,563.0,1670342840.7793694
Maynard,791.0,411.0,380.0,1670342840.7793694
Forest Garage,853.0,515.0,338.0,1670342840.7793694
Liberty Square (Tally Hall),540.0,278.0,262.0,1670342840.7793694
Ann Ashley,811.0,380.0,431.0,1670342840.7793694
South Ashley (Kline Lot),143.0,63.0,80.0,1670342840.7793694
4th & William,960.0,253.0,707.0,1670342840.7793694
4th & Wash.,270.0,155.0,115.0,1670342840.7793694
1st & Wash.,243.0,105.0,138.0,1670342840.7793694
1st and William,110.0,0.0,110.0,1670346428.4389794
Library Lane,744.0,181.0,563.0,1670346428.4389794
Maynard,791.0,411.0,380.0,1670346428.4389794
Forest Garage,853.0,515.0,338.0,1670346428.4389794
Liberty Square (Tally Hall),540.0,278.0,262.0,1670346428.4389794
Ann Ashley,811.0,380.0,431.0,1670346428.4389794
South Ashley (Kline Lot),143.0,63.0,80.0,1670346428.4389794
4th & William,960.0,253.0,707.0,1670346428.4389794
4th & Wash.,270.0,155.0,115.0,1670346428.4389794
1st & Wash.,243.0,105.0,138.0,1670346428.4389794
1st and William,110.0,0.0,110.0,1670350029.6501925
Library Lane,744.0,181.0,563.0,1670350029.6501925
Maynard,791.0,411.0,380.0,1670350029.6501925
Forest Garage,853.0,515.0,338.0,1670350029.6501925
Liberty Square (Tally Hall),540.0,278.0,262.0,1670350029.6501925
Ann Ashley,811.0,380.0,431.0,1670350029.6501925
South Ashley (Kline Lot),143.0,63.0,80.0,1670350029.6501925
4th & William,960.0,253.0,707.0,1670350029.6501925
4th & Wash.,270.0,155.0,115.0,1670350029.6501925
1st & Wash.,243.0,105.0,138.0,1670350029.6501925
1st and William,110.0,0.0,110.0,1670353627.6026163
Library Lane,744.0,181.0,563.0,1670353627.6026163
Maynard,791.0,411.0,380.0,1670353627.6026163
Forest Garage,853.0,515.0,338.0,1670353627.6026163
Liberty Square (Tally Hall),540.0,278.0,262.0,1670353627.6026163
Ann Ashley,811.0,380.0,431.0,1670353627.6026163
South Ashley (Kline Lot),143.0,63.0,80.0,1670353627.6026163
4th & William,960.0,253.0,707.0,1670353627.6026163
4th & Wash.,270.0,155.0,115.0,1670353627.6026163
1st & Wash.,243.0,105.0,138.0,1670353627.6026163
1st and William,110.0,0.0,110.0,1670357234.6191347
Library Lane,744.0,178.0,566.0,1670357234.6191347
Maynard,791.0,457.0,334.0,1670357234.6191347
Forest Garage,853.0,534.0,319.0,1670357234.6191347
Liberty Square (Tally Hall),540.0,320.0,220.0,1670357234.6191347
Ann Ashley,811.0,366.0,445.0,1670357234.6191347
South Ashley (Kline Lot),143.0,71.0,72.0,1670357234.6191347
4th & William,960.0,258.0,702.0,1670357234.6191347
4th & Wash.,270.0,165.0,105.0,1670357234.6191347
1st & Wash.,243.0,107.0,136.0,1670357234.6191347
1st and William,110.0,0.0,110.0,1670360828.4703357
Library Lane,744.0,178.0,566.0,1670360828.4703357
Maynard,791.0,457.0,334.0,1670360828.4703357
Forest Garage,853.0,534.0,319.0,1670360828.4703357
Liberty Square (Tally Hall),540.0,320.0,220.0,1670360828.4703357
Ann Ashley,811.0,366.0,445.0,1670360828.4703357
South Ashley (Kline Lot),143.0,71.0,72.0,1670360828.4703357
4th & William,960.0,258.0,702.0,1670360828.4703357
4th & Wash.,270.0,165.0,105.0,1670360828.4703357
1st & Wash.,243.0,107.0,136.0,1670360828.4703357
1st and William,110.0,0.0,110.0,1670364427.9328663
Library Lane,744.0,178.0,566.0,1670364427.9328663
Maynard,791.0,457.0,334.0,1670364427.9328663
Forest Garage,853.0,534.0,319.0,1670364427.9328663
Liberty Square (Tally Hall),540.0,320.0,220.0,1670364427.9328663
Ann Ashley,811.0,366.0,445.0,1670364427.9328663
South Ashley (Kline Lot),143.0,71.0,72.0,1670364427.9328663
4th & William,960.0,258.0,702.0,1670364427.9328663
4th & Wash.,270.0,165.0,105.0,1670364427.9328663
1st & Wash.,243.0,107.0,136.0,1670364427.9328663
1st and William,110.0,0.0,110.0,1670368027.3447187
Library Lane,744.0,178.0,566.0,1670368027.3447187
Maynard,791.0,457.0,334.0,1670368027.3447187
Forest Garage,853.0,534.0,319.0,1670368027.3447187
Liberty Square (Tally Hall),540.0,320.0,220.0,1670368027.3447187
Ann Ashley,811.0,366.0,445.0,1670368027.3447187
South Ashley (Kline Lot),143.0,71.0,72.0,1670368027.3447187
4th & William,960.0,258.0,702.0,1670368027.3447187
4th & Wash.,270.0,165.0,105.0,1670368027.3447187
1st & Wash.,243.0,107.0,136.0,1670368027.3447187
1st and William,110.0,0.0,110.0,1670371640.2718804
Library Lane,744.0,100.0,644.0,1670371640.2718804
Maynard,791.0,307.0,484.0,1670371640.2718804
Forest Garage,853.0,242.0,611.0,1670371640.2718804
Liberty Square (Tally Hall),540.0,202.0,338.0,1670371640.2718804
Ann Ashley,811.0,78.0,733.0,1670371640.2718804
South Ashley (Kline Lot),143.0,119.0,24.0,1670371640.2718804
4th & William,960.0,236.0,724.0,1670371640.2718804
4th & Wash.,270.0,135.0,135.0,1670371640.2718804
1st & Wash.,243.0,243.0,0.0,1670371640.2718804
1st and William,110.0,0.0,110.0,1670375228.411534
Library Lane,744.0,100.0,644.0,1670375228.411534
Maynard,791.0,307.0,484.0,1670375228.411534
Forest Garage,853.0,242.0,611.0,1670375228.411534
Liberty Square (Tally Hall),540.0,202.0,338.0,1670375228.411534
Ann Ashley,811.0,78.0,733.0,1670375228.411534
South Ashley (Kline Lot),143.0,119.0,24.0,1670375228.411534
4th & William,960.0,236.0,724.0,1670375228.411534
4th & Wash.,270.0,135.0,135.0,1670375228.411534
1st & Wash.,243.0,243.0,0.0,1670375228.411534
1st and William,110.0,0.0,110.0,1670378827.523015
Library Lane,744.0,100.0,644.0,1670378827.523015
Maynard,791.0,307.0,484.0,1670378827.523015
Forest Garage,853.0,242.0,611.0,1670378827.523015
Liberty Square (Tally Hall),540.0,202.0,338.0,1670378827.523015
Ann Ashley,811.0,78.0,733.0,1670378827.523015
South Ashley (Kline Lot),143.0,119.0,24.0,1670378827.523015
4th & William,960.0,236.0,724.0,1670378827.523015
4th & Wash.,270.0,135.0,135.0,1670378827.523015
1st & Wash.,243.0,243.0,0.0,1670378827.523015
1st and William,110.0,0.0,110.0,1670382431.5808766
Library Lane,744.0,100.0,644.0,1670382431.5808766
Maynard,791.0,307.0,484.0,1670382431.5808766
Forest Garage,853.0,242.0,611.0,1670382431.5808766
Liberty Square (Tally Hall),540.0,202.0,338.0,1670382431.5808766
Ann Ashley,811.0,78.0,733.0,1670382431.5808766
South Ashley (Kline Lot),143.0,119.0,24.0,1670382431.5808766
4th & William,960.0,236.0,724.0,1670382431.5808766
4th & Wash.,270.0,135.0,135.0,1670382431.5808766
1st & Wash.,243.0,243.0,0.0,1670382431.5808766
1st and William,110.0,0.0,110.0,1670386037.4830859
Library Lane,744.0,76.0,668.0,1670386037.4830859
Maynard,791.0,83.0,708.0,1670386037.4830859
Forest Garage,853.0,184.0,669.0,1670386037.4830859
Liberty Square (Tally Hall),540.0,90.0,450.0,1670386037.4830859
Ann Ashley,811.0,48.0,763.0,1670386037.4830859
South Ashley (Kline Lot),143.0,4.0,139.0,1670386037.4830859
4th & William,960.0,67.0,893.0,1670386037.4830859
4th & Wash.,270.0,10.0,260.0,1670386037.4830859
1st & Wash.,243.0,243.0,0.0,1670386037.4830859
1st and William,110.0,0.0,110.0,1670389627.9797533
Library Lane,744.0,76.0,668.0,1670389627.9797533
Maynard,791.0,83.0,708.0,1670389627.9797533
Forest Garage,853.0,184.0,669.0,1670389627.9797533
Liberty Square (Tally Hall),540.0,90.0,450.0,1670389627.9797533
Ann Ashley,811.0,48.0,763.0,1670389627.9797533
South Ashley (Kline Lot),143.0,4.0,139.0,1670389627.9797533
4th & William,960.0,67.0,893.0,1670389627.9797533
4th & Wash.,270.0,10.0,260.0,1670389627.9797533
1st & Wash.,243.0,243.0,0.0,1670389627.9797533
1st and William,110.0,0.0,110.0,1670393228.3169568
Library Lane,744.0,76.0,668.0,1670393228.3169568
Maynard,791.0,83.0,708.0,1670393228.3169568
Forest Garage,853.0,184.0,669.0,1670393228.3169568
Liberty Square (Tally Hall),540.0,90.0,450.0,1670393228.3169568
Ann Ashley,811.0,48.0,763.0,1670393228.3169568
South Ashley (Kline Lot),143.0,4.0,139.0,1670393228.3169568
4th & William,960.0,67.0,893.0,1670393228.3169568
4th & Wash.,270.0,10.0,260.0,1670393228.3169568
1st & Wash.,243.0,243.0,0.0,1670393228.3169568
1st and William,110.0,0.0,110.0,1670396828.7600112
Library Lane,744.0,76.0,668.0,1670396828.7600112
